category,role,text,listener_empathy,speaker_changeEmotion,terminate,situation,speaker_emotion,id
기쁨,자녀,마라톤이 끝나고 나서 마시는 물이 그렇게 맛있는지 처음 알았다니까요. 오늘 정말 저에게 의미 있는 시간을 보낸 것 같아 너무 기쁘네요.,,,False,,,BE22028986
기쁨,부모,먼 곳에 있는 딸이 엄마의 생각보다 훨씬 더 잘 지내는 것 같아서 너무 다행이야. 네가 기분 좋다니까 엄마도 너무 행복해. 앞으로도 우리 딸의 도전을 응원할게.,,,False,,,BE22028986
기쁨,자녀,"엄마 덕분에 안 그래도 좋았던 기분이 더 좋아지는 것 같아요. 너무 감사해요, 엄마.",,,False,,,BE22028986
기쁨,부모,우리 딸에게 앞으로도 좋은 일들이 가득할 거야. 또 좋은 소식 있으면 말해주렴.,,,False,,,BE22028986
기쁨,자녀,"알겠어요, 엄마. 본인 일처럼 좋아해주셔서 너무 감사해요. 사랑해요.",,,True,,,BE22028986
기쁨,speaker,"할머니, 이제 드디어 기말고사도 끝나고 기다리고 기다리던 방학을 맞이했어요. 방학이 되면 엄마가 제주도 한 달 살기를 하자고 하셨거든요. 그래서 방학만을 손꼽아 기다려 왔어요.",,,False,,,BE22028982
기쁨,listener,방학이 되는 것도 신나는 일인데 게다가 좋은 곳에서 지낼 수 있다니 설렐 만하구나. 할머니도 덩달아 네가 얼마나 재미있는 일을 겪으며 지낼지 궁금하고 기대되는걸. 알차고 뿌듯한 방학이 될 게 눈에 선하구나.,"격려,동조",,False,,,BE22028982
기쁨,speaker,엄마가 예약한 펜션 주위에는 숨은 지역의 맛집도 많다고 들었어요. 그래서 여한 없이 맛있는 음식도 먹으면서 지내려고 해요. 게다가 펜션 일층에는 조용한 북카페도 있어서 보고 싶은 책도 많이 읽을 거예요.,,,False,,,BE22028982
기쁨,listener,학교 다니면서 하고 싶어도 못 했던 걸 할 수 있으니 얼마나 즐거울까 싶어. 날아갈 듯 가벼운 마음이 여기까지 전해지니 할머니 마음도 흐뭇해. 가서 맛있는 거 먹고 책도 읽으며 편안히 지내다 오렴.,"조언,격려,동조",,False,,,BE22028982
기쁨,speaker,"네, 매일 맑고 푸른 바다가 철썩이는 바닷가에 나가 멍때리며 구경도 할 거예요. 엄마가 이번 방학만큼은 공부하라고 잔소리도 하지 않겠다고 했거든요. 그래서 더욱 평화로운 방학이 될 것 같은 예감이 들어요.",,,False,,,BE22028982
기쁨,listener,엄마의 지지도 있으니 속 시원히 지낼 일만 남은 거구나. 걱정 없는 마음으로 온전히 즐길 수 있다는 건 얼마나 큰 축복인지. 제주의 쾌적함 속에 나른한 나날이 이어지며 마음의 찌꺼기도 사라지게 될 거야.,격려,,False,,,BE22028982
기쁨,speaker,사실 여름의 제주는 조금 습하고 덥다고 하더라고요. 이때를 위해 제가 수영을 배워놓았기 때문에 안심이 돼요. 언제든 펜션에서 걸어서 바다로 풍덩 들어가 시원하게 수영을 할 수 있거든요.,,,False,,,BE22028982
기쁨,listener,정말 완벽하게 즐길 자세가 되어 있다니 너무 보기 좋구나. 그동안 열심히 학생으로서의 본분을 지키고 엄마에게도 좋은 아들이었으니 즐길만한 자격이 충분해. 평소에 뭐든 미더운 모습을 보여주었으니 엄마도 너를 존중해 주는 걸 테니까.,격려,,False,,,BE22028982
기쁨,speaker,할머니의 메시지를 보며 학원까지 중단하고 내려와 놀기만 해도 되나 조금 걱정되던 마음도 편안해지네요. 역시 할머니는 저의 마음을 알아주고 좋은 말씀으로 타일러주시니 너무 좋아요. 제주의 양털 구름과 짙푸른 바다를 찍어 할머니께 종종 보낼게요.,,,False,,,BE22028982
기쁨,listener,할머니를 위해 사진까지 보내준다는 손주의 마음이 그저 소중하고 기특하기만 하구나. 이렇게 다정하니 할머니가 친구들을 만나면 손주 자랑하기 바쁘다니까. 잔소리라고 생각하지 않고 할머니 말에 귀 기울여줘서 늘 고맙구나.,동조,,False,,,BE22028982
기쁨,speaker,기말고사가 끝난 후련한 마음에 방학에 대한 기대감에 부푼 제 마음에 공감해주셔서 감사해요. 가서 꿈만 같은 날을 보내며 엄마와도 싸우지 않고 잘 지내볼게요. 일단 제가 제일 좋아하는 회를 자주 먹을 거라 행복해요.,,,False,,,BE22028982
기쁨,listener,그럼 네가 좋아하는 모든 것을 다 해보는 기분 좋은 방학이면 그걸로 된 거지. 아마 엄마도 너처럼 즐겁고 설레는 마음은 같을걸. 그러니 가벼운 마음으로 서로 아껴주면 아무 걱정이 없을 거란다.,,,False,,,BE22028982
기쁨,speaker,오늘 집에 가서 엄마와 여행 가방을 싸기로 했어요. 무려 한 달이나 있어야 하므로 야무지게 잘 챙겨야 할 텐데 걱정이에요. 오늘따라 집으로 가는 발걸음이 가벼울 것 같아요.,,,False,,,BE22028982
기쁨,listener,그저 기쁜 마음으로 엄마와 상의해서 오붓하게 가방을 채우려무나. 그리고 여기서 그렇듯 제주 가서도 걱정되는 게 있으면 언제든 연락하고. 할머니는 언제나 우리 손주 편이니 말이야.,,,True,,,BE22028982
기쁨,자녀,"엄마, 저 태어나서 처음으로 자취하게 된 거라 무척 기쁘네요. 너무 설레서 지금 밤인데도 잠이 안 올 정도예요!",,,False,,,BE22029065
기쁨,부모,"우리 아들, 안 그래도 며칠 전부터 참 설레하더니 지금도 여전히 기분이 좋나 보다! 아무래도 새로운 삶을 사는 것 같은 기분이라서 기쁠 수밖에 없지! 나도 독립했을 때의 설렘을 느껴본 적이 있어서 지금 네 심정 이해가 가!","격려,동조",,False,,,BE22029065
기쁨,자녀,"네, 주변 아이들은 거의 대부분 20살이 되자마자 자취했거든요. 근데 저는 대학 졸업 후에도 계속 부모님이랑 같이 살았잖아요. 뒤늦게라도 이제 저도 독립하게 되니까 무척 신이 나고 기쁘네요!",,,False,,,BE22029065
기쁨,부모,누구에게나 때가 다른 법이지. 그래도 이번에 그토록 꿈에 그리던 자취를 하게 돼서 참 즐겁겠네! 나라도 설레는 마음이 한 가득 했을 것 같아!,"격려,동조",,False,,,BE22029065
기쁨,자녀,그래서 친구들이 축하한다고 집들이 선물도 미리 줬어요! 저만의 공간에 드디어 제 취향에 맞게 꾸밀 생각을 하니까 너무 즐겁네요. 어떤 디자인의 가구를 들여놓아야 할지 다 정해놓았어요!,,,False,,,BE22029065
기쁨,부모,넌 역시 준비성이 철저하구나! 나였으면 그저 기쁜 마음에 취해서 당장 아무것도 하지 못했을 텐데 말이야. 역시 우리 아들 실행력 하나는 끝내줘!,"격려,동조",,False,,,BE22029065
기쁨,자녀,그토록 꿈에 그리던 자취라 계속 이것저것 챙기게 되더라고요! 그래서 집들이 때 친구들 대접해주려고 요리도 배우고 있어요!,,,False,,,BE22029065
기쁨,부모,또 얼마나 근사한 요리를 만들지 내가 다 기대가 되는구나! 너는 하나를 배우면 열을 해내는 똑똑한 아이잖아. 분명 이번에도 곧잘 해낼 거야!,"격려,동조",,False,,,BE22029065
기쁨,자녀,엄마가 그렇게 격려해주니까 금방 요리를 터득할 수 있을 것 같네요! 자취는 처음이지만 저 혼자서도 분명 잘 생활할 수 있겠죠?,,,False,,,BE22029065
기쁨,부모,"응, 너라면 분명 혼자서도 잘 지낼 수 있을 거야. 너는 꽤 독립심이 강해서 남의 도움을 받지 않고도 혼자 문제를 잘 해결하잖아. 이번에 생활력까지 생기면 너는 정말 완벽한 사람 그 자체가 되겠구나!",격려,,False,,,BE22029065
기쁨,자녀,"엄마가 그렇게 말하니 부끄럽지만, 기분이 좋아지네요. 저도 진정한 어른이 된 것 같아서 너무 좋아요. 앞으로는 혼자서 모든 걸 다 해쳐 나가야죠!",,,False,,,BE22029065
기쁨,부모,"응, 그래도 별 큰 문제 없이 무난하게 자취 생활 이어가기를 바랄게. 너라면 분명 별문제 없이 잘 생활할 수 있을 거야. 그동안 바라본 우리 아들은 정말 믿음직한 사람이었으니까 말이야.","격려,동조",,False,,,BE22029065
기쁨,자녀,"네, 요리만 어떻게 하면 자취를 잘해나갈 수 있을 것 같아요. 태어나서 처음으로 자취하게 된 건데 이렇게 엄마도 격려해주니까 좋네요. 다음에 시간 될 때 본가 갈게요!",,,False,,,BE22029065
기쁨,부모,"응, 그때 네가 좋아하는 반찬들 만들어서 밥 차려줄게. 본가 올 때 미리 연락만 줘!",,,True,,,BE22029065
기쁨,자녀,엄마 숙원사업 이제 해결될 것 같아요. 이제 차차 결혼 준비하려고요.,,,False,,,BE22028796
기쁨,부모,요즈음 가장 반가운 연락이구나. 남자친구와 드디어 결혼하기로 마음먹은 거니?,동조,,False,,,BE22028796
기쁨,자녀,그냥 둘이 연애하는 것만으로도 좋다고 생각했었어요. 그런데 남자친구가 갑작스레 청혼을 하지 뭐예요.,,,False,,,BE22028796
기쁨,부모,둘 다 결혼에 대해 크게 생각 없어 보이더니 그게 아니었나 보다. 역시 사람 마음은 알다가도 모를 일이야.,,,False,,,BE22028796
기쁨,자녀,결혼에 대한 큰 기대가 없었는데 막상 청혼받으니 기쁨에 가슴이 벅차더라고요. 결혼까지 하게 되면 얼마나 더 설렐까 기대가 돼요.,,,False,,,BE22028796
기쁨,부모,사랑하는 사람에게 고백받는다는 건 너무나도 감사하고 기쁜 일이지. 더구나 평생의 미래를 함께하자는 약속을 받았으니 얼마나 감격스러웠겠니. 엄마도 아빠와의 만남이 떠오르며 마음이 몽글몽글해지는구나.,"위로,동조",,False,,,BE22028796
기쁨,자녀,누군가와 미래를 함께 꿈꾼다는 게 이렇게 흥분되는 일인지 몰랐어요. 지금과 같이 서로 배려하고 의지하며 잘 살아갈 수 있겠죠?,,,False,,,BE22028796
기쁨,부모,오지도 않은 미래를 벌써 걱정하지 않았으면 좋겠구나. 하루하루를 감사하는 마음으로 살다 보면 어느새 행복한 날들이 쌓여있단다. 네가 새롭게 맞이할 날들이 엄마도 기대되는구나.,"조언,동조",,False,,,BE22028796
기쁨,자녀,이렇게 용기 내서 청혼해 준 남자친구의 마음을 감사하며 지내야겠어요. 막상 이렇게 프러포즈를 받으니 사랑하는 마음이 더 솟구치는 것 같아요.,,,False,,,BE22028796
기쁨,부모,청혼받는 게 당연하다고 생각하는 젊은이들도 많은데 감사하는 마음을 지니는 네가 대견스럽다. 항상 남이 베풀어준 마음을 그냥 지나치지 않고 소중히 여기는 네가 되었으면 좋겠다. 네가 지금 같은 마음이라면 둘이 충분히 어떤 시련도 이기며 잘 살아낼 수 있을 거야.,"격려,동조",,False,,,BE22028796
기쁨,자녀,엄마의 동조와 격려 덕분에 더 힘이 나는 것 같아요. 미래에 대한 막연한 두려움도 전혀 없어요.,,,False,,,BE22028796
기쁨,부모,우리 딸이 드디어 사랑하는 사람을 만나 결혼한다니 이것보다 기쁜 일이 또 있을까? 사랑하는 사람과 일상을 함께 채워나가는 일은 네 생각보다 더 벅찬 일일 거야. 그 기쁨을 네가 마음껏 누렸으면 좋겠다.,조언,,False,,,BE22028796
기쁨,자녀,저의 앞날을 응원해 주셔서 감사해요. 식장에서 울지 않고 예쁜 모습 보여드릴게요.,,,False,,,BE22028796
기쁨,부모,이제 결혼 준비하려면 바쁠 텐데 집에 더 자주 못 들르겠구나. 그래도 예비 사위랑 언제 한 번 들러서 밥 한 끼 먹고 가렴.,,,True,,,BE22028796
기쁨,자녀,"아빠, 저 지금 야근 끝났는데 코인노래방에 가서 노래를 부르고 왔더니 세상을 다 가진 듯해요. 온갖 스트레스가 날아가는 느낌이라 정말 기뻐요.",,,False,,,BE22028709
기쁨,부모,야근 후에 답답한 속을 노래방이 해소 시켜주었을 것 같아. 날아 갈듯이 몸이 가벼워지고 마음도 덩달아 가뿐해졌겠구나. 우리 아들이 이렇게 신나 하는 모습을 보니 아빠도 참 흐뭇하네.,"격려,동조",,False,,,BE22028709
기쁨,자녀,제가 진짜 좋아하는 가수의 앨범이 나왔어요. 신곡이 이렇게 빨리 뜰 거라고 예상하지 못했는데 생각지도 않게 발매가 된 거죠. 그래서 그 노래를 열심히 듣고 부르고 싶어서 노래방에 노래가 나오자 마자 부르고 왔어요.,,,False,,,BE22028709
기쁨,부모,"진짜 우리 아들이 기뻐서 구름 위를 둥둥 떠다니는 기분이겠다. 우리 아들이 진짜 손꼽아서 가수의 신곡을 기다리고 있었잖아, 그런데 생각보다도 빨리 나오다니 행복하겠다.",격려,,False,,,BE22028709
기쁨,자녀,언제나 새 노래가 나오기 만을 고대 했거든요. 진짜 생각지도 못하고 기대도 안 하고 있었는데 너무 깜짝 선물처럼 나왔어요.,,,False,,,BE22028709
기쁨,부모,진짜로 서프라이즈 선물 같았겠다. 나오는 순간 너무 놀라서 곧바로 소리를 막 질렀을 거 같아. 우리 아들 이야기를 듣기만 해도 지금 네가 얼마나 행복하고 기쁠지 상상이 될 정도야.,"격려,동조",,False,,,BE22028709
기쁨,자녀,한동안 일이 바빠서 삶의 여유가 없었는데 얼마나 행복했는지 몰라요. 게다가 노래방에 그 노래가 나와서 따라 불렀더니 더할 나위 없는 행복이 찾아오네요.,,,False,,,BE22028709
기쁨,부모,최근에 회사에서 중요한 프로젝트를 맡아서 밤 낮 할 거 없이 정말 노력 했잖니. 그 프로젝트를 성공리에 마치고 싶다는 너의 의지가 진짜 기특 했단다. 일에 열정적으로 성실한 네가 정말 자랑스러워.,동조,,False,,,BE22028709
기쁨,자녀,아빠가 그렇게 칭찬해주시니 더 기분이 좋아집니다. 집에 가는 발걸음조차 가벼워져요. 콧노래를 연신 흥얼거리면서 가는 중이에요.,,,False,,,BE22028709
기쁨,부모,나 같아도 좋아하는 가수의 앨범이 나오면 열심히 들어본 다음에 노래방으로 달려갈 거야. 달려가서 앨범 수록곡을 혼자서 즐기면서 기뻐할 것 같아. 그래서 우리 아들의 심정이 충분히 이해되고 공감이 가는 구나.,동조,,False,,,BE22028709
기쁨,자녀,제 마음이 딱 그 심정이에요! 아빠가 제 마음을 딱 알아채 주니까 정말 더 기쁘고 행복하네요.,,,False,,,BE22028709
기쁨,부모,진짜 좋아하는 음악을 즐기고 싶을 때는 노래방에서 같은 곡을 반복해서 부르고 싶을 때도 있잖아. 왠지 지금 네가 딱 그런 마음일 거 같아. 우리 아들이 스트레스가 해소되었다니 아빠는 다행이라고 생각해.,"격려,동조",,False,,,BE22028709
기쁨,자녀,아빠가 자신의 일처럼 기뻐해 주고 반응해 주니까. 저도 더 기쁘고 행복하네요.,,,False,,,BE22028709
기쁨,부모,우리 아들의 행복이 곧 아들의 행복이지. 어떤 노래인지 아빠도 들어보고 싶구나. 집에 도착해서 들려주렴!,,,True,,,BE22028709
기쁨,자녀,"시험기간이라 그런지 도서관 자리를 찾는 게 힘든데, 어렵게 한 자리 얻어냈어요! 다들 못 찾고 두리번거리던데 금세 앉을 수 있어서 너무 기뻐요! 이제 집중해서 공부를 할 수 있어요.",,,False,,,BE22028841
기쁨,부모,"금방 찾을 수 있어서 정말 다행이구나! 도서관에 가기 전에 걱정을 많이 하더니 기뻐해서 참 좋다. 평일 저녁인데도 자리가 많이 없다니, 다들 열심히 하네.","격려,동조",,False,,,BE22028841
기쁨,자녀,"네. 아무래도 학생들부터 성인까지 모두 이용이 가능한 도서관이라, 경쟁률이 더 치열한가 봐요. 오랫동안 대기해야 할 줄 알았는데, 시간 낭비 없이 오늘치 문제집을 풀 수 있을 것 같아요.",,,False,,,BE22028841
기쁨,부모,"항상 시험 성적 때문에 스트레스받은 모습만 보다가, 이렇게 기뻐하는 모습을 보니. 엄마도 함께 기쁘다. 열심히 하는 것도 좋지만, 엄마는 네가 조금 더 인생을 즐길 수 있으면 좋겠어.",동조,,False,,,BE22028841
기쁨,자녀,스스로 열심히 공부해서 성적을 올리는 일이 저의 기쁨인걸요. 남이 아닌 저를 위해서 열심히 하는 거니 너무 걱정하지 마세요. 오히려 이런 사소한 일에도 기쁠 수 있는 저 자신이 좋은 것 같아요.,,,False,,,BE22028841
기쁨,부모,"그래? 네가 그렇게 생각한다니 다행이구나. 힘든 상황일 수도 있는데 긍정적으로 생각하는 모습이 아주 보기 좋구나. 너의 그 모습이 사랑스러워, 어디 가면 항상 우리 아들 자랑만 하게 된단다.","격려,동조",,False,,,BE22028841
기쁨,자녀,"저는 그냥 학생의 본분을 다하는 것뿐인데, 부끄럽네요 어머니. 조금 더 열심히 공부해서 엄마에게 부끄럽지 않은 아들이 될래요! 제가 느끼는 기쁨의 감정을 어머니께 더 멋지게 선사해드리고 싶어요.",,,False,,,BE22028841
기쁨,부모,너의 기쁨이 곧 나의 기쁨이란다. 내 뱃속에서 너처럼 똑똑하고 성실한 아이가 나왔다는 사실에 기뻐. 공부를 열심히 하는 것뿐만 아니라 성실하게 인생을 살아가는 너의 모습은 정말 좋은 모습이란다.,"격려,동조",,False,,,BE22028841
기쁨,자녀,어머니와 이렇게 진솔한 대화를 나눌 수 있는 건 저뿐일 거예요. 어머니께서 항상 제가 공부에 집중할 수 있도록 도와주신 덕분에 제가 이만큼 할 수 있었어요. 어머니와 한 가족이어서 너무 기뻐요.,,,False,,,BE22028841
기쁨,부모,"말도 정말 예쁘게 하는구나. 그래 맞아 나도 서로의 기쁨을 나눌 수 있는 가족이 되어 행복하다고 느낀단다. 큰일이 아니더라도, 작은 일에 이만큼이나 서로의 감정 공유가 가능하다니 정말 귀중한 경험이야.",격려,,False,,,BE22028841
기쁨,자녀,처음에 도서관에 자리가 없을까봐 불안했던 제 마음이 괜한 걱정이었다고 생각했는데. 그 마음이 더 큰 기쁨을 불러 와준 것 같아요. 사람에게 귀중하지 않은 마음이란 없는가봐요.,,,False,,,BE22028841
기쁨,부모,슬픔도 기쁨도 모두 귀중한 감정이지. 우리는 매사에 감사하며 살 줄 알아야 한단다. 그런 마음을 아직은 어린 네가 깨달았다니 정말 대단하구나.,격려,,False,,,BE22028841
기쁨,자녀,우울하기만 했던 시험기간에 이런 기쁨을 얻을 수 있어서 정말 좋고. 공부에 집중도 더 잘될 것 같아요. 앞으로 또 우울함과 마주해도 이겨 낼 수 있을 것 같다는 생각이 들어요!,,,False,,,BE22028841
기쁨,부모,"이번 기회로 많은 것을 얻어서 기쁜 모양이구나. 너의 기쁨은 곧 나의 기쁨이지, 앞으로도 열심히 살면 이런 기회는 꼭 또다시 찾아올 거야. 함께 열심히 살아보자꾸나.",,,True,,,BE22028841
기쁨,자녀,"엄마 드디어 제가 아파트 청약에 당첨이 되었어요. 어마어마한 경쟁률이었는데 그걸 제가 뚫었네요, 너무 기뻐서 심장이 터져버릴 것 만같아요.",,,False,,,BE22028943
기쁨,부모,"어젯밤에 하늘에서 꽃비가 내리는 꿈을 꾸었는데, 너에게 이런 기쁜 소식을 듣는구나. 우리 아들의 소원이 이루어진 것 같아서 엄마도 가슴이 떨리고 기분이 좋다.",동조,,False,,,BE22028943
기쁨,자녀,"벌써 열 번도 넘게 떨어져서 이번에는 기대도 하지 않았거든요. 이런 엄청난 기회를 잡게 되다니 너무 흥분 돼요, 전 행운의 남자 인가 봐요.",,,False,,,BE22028943
기쁨,부모,"네가 가장이 된 지도 벌써 십 년이 다 되어가는데 아직 집이 없어서 걱정이 많았어. 요즘 집값이 워낙 올라서 대출 받아 사기도 쉽지 않은데, 이렇게 청약에 당첨돼서 정말 다행이다. 네가 그동안 열심히 살아온 보상을 받은 것 같아.","격려,위로",,False,,,BE22028943
기쁨,자녀,"결혼 후 줄곧 아내와 맞벌이를 하면서 돈을 모았지만, 2년마다 오르는 전세 값을 준비하기도 힘들었어요. 하루 빨리 내 집을 마련하고 싶었는데, 모두 아내의 덕분인 것 같네요.",,,False,,,BE22028943
기쁨,부모,"며느리는 정말 착한 아이야, 일하느라 힘들텐데도 명절이나 우리 생일은 한 번도 빠지지 않고 챙기잖아. 쉽지 않은 일인데 정말 고맙고 대견 해, 우리 며느리가 복이 많아서 청약에 당첨된 것 같다.",격려,,False,,,BE22028943
기쁨,자녀,"아내와 매일 창밖을 보면서 세상에 집이 이렇게나 많은데, 왜 우리 집은 없을까 하고 낙담만 했었는데. 우리 가족에게도 이제 진짜 우리 집이 생겼다고 생각하니 가슴이 벅차올라요.",,,False,,,BE22028943
기쁨,부모,"사람마다 다르겠지만 엄마는 인생에서 취직을 하고 결혼하고 아이를 낳는 일 외에. 가장 기쁜 일이 아닐까 생각하는데, 너에게도 기회가 온 것 같아서 엄마는 이제 여한이 없구나.",동조,,False,,,BE22028943
기쁨,자녀,"지금부터 시작이에요, 이제 집도 장만 했으니 양쪽 부모님들께 효도하면서 살고 싶어요. 그동안은 사는 게 바빠서 마음의 여유가 없었거든요. 기대하셔도 좋습니다.",,,False,,,BE22028943
기쁨,부모,무엇이든 조급하게 생각하지 말고 천천히 한 걸음씩 간다고 생각하면서 살면. 오늘처럼 좋은 일도 생기고 너도 점점 더 성숙한 어른이 될 수 있을 거야.,격려,,False,,,BE22028943
기쁨,자녀,좋은 말씀 감사드려요. 엄마가 저를 위해 항상 기도 해 주셔서 얼마나 든든한지 몰라요. 엄마는 제 자존감의 원천이에요.,,,False,,,BE22028943
기쁨,부모,바쁘지 않으면 주말에 가족들 데리고 집에 내려 오렴. 엄마가 청약에 당첨된 기념으로 맛있는 음식 많이 해 놓고 기다리고 있을게. 오랜만에 아이들과 며느리도 보고 싶구나.,,,False,,,BE22028943
기쁨,자녀,"당연히 가야죠, 제 인생 첫 집 장만을 했는데요. 저도 오랜만에 엄마가 해주신 집 밥을 먹고 싶네요.주말 아침 일찍 출발할게요. 엄마 고맙고 사랑합니다!",,,False,,,BE22028943
기쁨,부모,"주말에 너희를 만날 수 있다고 생각하니 벌써부터 가슴이 설레는구나. 운전 조심해서 천천히 내려오렴, 아들아, 엄마도 사랑한다!",,,True,,,BE22028943
기쁨,자녀,아버지 긴 진통 끝에 결국 우리 아들이 태어났대요. 저 정말 세상을 다 얻은 것처럼 기뻐요. 지금 저보다 행복한 사람이 있을까 싶을 정도로 기분이 좋아요.,,,False,,,BE22029148
기쁨,부모,안 그래도 연락을 기다리던 참이었는데 드디어 태어났구나. 진통이 길어져서 많이 걱정했는데 예정일에 나와줘서 다행이구나. 우리 아들 아빠가 된 걸 축하한다.,"격려,동조",,False,,,BE22029148
기쁨,자녀,저 탯줄을 끊는 그 순간을 잊지 못해요. 혹시나 우리 아기가 다칠까 조심조심 잘라낸 후 우는 모습을 보는데 어찌나 예쁘고 뭉클한지요. 자식이 생긴다는 게 이렇게 행복하고 기분 좋은 일임을 실감했어요.,,,False,,,BE22029148
기쁨,부모,아버지가 된다는 게 얼마나 기쁜 일인지를 내가 아주 잘 알지. 네가 처음 태어나던 날 나는 얼마나 행복했는지 몰라. 그 감정을 네가 느끼게 되었다니 정말 뭉클하면서 대견스러워.,동조,,False,,,BE22029148
기쁨,자녀,축하해 주셔서 감사해요 아버지. 첫아이의 탄생이 이렇게 신비롭고 감동일지 몰랐어요. 힘차게 우는 모습을 보는데 저절로 미소가 지어지더라고요.,,,False,,,BE22029148
기쁨,부모,듣기만 해도 우리 아들의 벅차오르는 감정이 전달이 되는구나. 얼른 나도 우리 손주를 보러 당장 달려가고 싶은 심정인걸. 네 엄마는 지금 옆에서 울고 계신다.,"격려,동조",,False,,,BE22029148
기쁨,자녀,"천천히 올라오세요. 엄마도 참, 벌써 할머니가 되시는 게 그렇게도 기쁘실까요. 여러모로 두 분이 이렇게 좋아해 주시니 정말 기뻐요. 그리고 이 고귀한 탄생의 현장을 보고 나니 저를 낳아주시고 키워주신 부모님께 더욱 감사드릴 뿐이에요.",,,False,,,BE22029148
기쁨,부모,"그렇게 말해 준다니 고맙구나, 우리 아들이 진짜 아빠가 된 것 같구나. 처음에 널 품에 안았을 때 엄마 아빠도 세상을 다 가진 것처럼 행복했단다. 우리 아들은 워낙 다정하고 세심하니까 분명 좋은 아빠가 될 거야.","격려,동조",,False,,,BE22029148
기쁨,자녀,"격려해 주셔서 감사해요. 아버지 말대로 저 정말 좋은 아빠, 남편이 되기 위해 노력할 거예요. 이 세상의 모든 것을 다 주고 싶은 마음이 이런 거구나 싶어요.",,,False,,,BE22029148
기쁨,부모,"그래, 말 안 해도 네가 알아서 잘 할 것을 알기에 아빠는 걱정이 없어. 그렇지만 아들이 태어나서 너무 행복한 나머지 며느리를 서운하게 하면 안 된다. 오늘 제일 고생하고 수고가 많았던 사람이 며느리이니 사랑한다고 자주 표현해 주렴.","조언,동조",,False,,,BE22029148
기쁨,자녀,네 명심할게요. 며느리를 먼저 생각해 주는 시아버지라니 정말 다정하신데요. 아내에게 이 말을 전해준다면 분명 정말 감동받을 거예요. 아버지 말씀대로 아내를 우선으로 생각할 거예요.,,,False,,,BE22029148
기쁨,부모,"그래 우리 아들, 이제부터 시작인 거 알지? 우리 함께 태어난 아이를 위해 잘 살아보자꾸나. 네 엄마와 나는 이제 택시를 탔단다, 우리 손주 보고 싶어서 얼른 달려가야겠어.",동조,,False,,,BE22029148
기쁨,자녀,"네, 저희 아이를 위해 함께해 주신다는 말씀이 정말 든든하고 감사할 뿐이에요. 벌써 오신다니 얼마나 손주가 보고 싶으셨으면 그러실까요. 기다리고 있을게요.",,,False,,,BE22029148
기쁨,부모,"그래, 얼른 가마. 가면서 연락을 돌려서 모든 사람들의 축복을 받고 태어난 우리 손주를 얼른 동네방네 자랑해야겠어.",동조,,True,,,BE22029148
